America         New_York
Australia       Canberra
Afghanistan     Kabul
Angola          Luanda
Argentina       Buenos_Aires
Armenia         Yerevan
Austria         Vienna
Azerbaijan      Baku
Bahrain         Manama
Bangladesh      Dhaka
Belarus         Minsk
Belgium         Brussels
Brazil          Brasilia
Bulgaria        Sofia
Canada          Ottawa
China           Beijing
Chile           Santiago
Colombia        Bogota
Costa_Rica      San_Jose
Croatia         Zagreb
Cuba            Havana
Cyprus          Nicosia
Denmark         Copenhagen
Djibouti        Djibouti
Egypt           Cairo
England         London
Ethiopia        Addis_Ababa
France          Paris
Georgia         Tbilisi
Germany         Berlin
Greece          Athens
Hungary         Budapest
India           New_Delhi
Indonesia       Jakarta
Iran            Tehran
Iraq            Baghdad
Ireland         Dublin
Italy           Rome
Jamaica         Kingston
Japan           Tokyo
Jordan          Amman
Kazakhstan      Astana
Lebanon         Beirut
Poland          Warsaw
Russia          Moscow
Saudi_Arabia    Riyadh
Spain           Madrid
Syria           Damascus
Ukraine         Kiev
Yemen           Sanaa
